#iRMS=4.267482655e-05 0
#    lk  ukf_rf6v  uks_rf6v        fh        fse
#
 1150.0  0.004218  0.000000  0.004218  0.000000
 1155.0  0.002700  0.000000  0.002700  0.000000
 1160.0  0.001559  0.000000  0.001559  0.000000
 1165.0  0.001032  0.000000  0.001032  0.000000
 1170.0  0.000821  0.000000  0.000821  0.000000
 1175.0  0.000454  0.000000  0.000454  0.000000
 1180.0  0.000417  0.000000  0.000417  0.000000
 1185.0  0.000226  0.000000  0.000226  0.000000
 1190.0  0.000000  0.000000  0.000000  0.000000
 1195.0  0.000095  0.000000  0.000095  0.000000
 1200.0  0.000605  0.000000  0.000605  0.000000
 1205.0  0.001548  0.000000  0.001548  0.000000
 1210.0  0.005655  0.000000  0.005655  0.000000
 1215.0  0.008670  0.000000  0.008670  0.000000
 1220.0  0.004748  0.000000  0.004748  0.000000
 1225.0  0.001014  0.000000  0.001014  0.000000
 1230.0  0.000255  0.000000  0.000255  0.000000
 1235.0  0.000225  0.000000  0.000225  0.000000
 1240.0  0.000245  0.000000  0.000245  0.000000
 1245.0  0.000259  0.000000  0.000259  0.000000
 1250.0  0.000205  0.000000  0.000205  0.000000
 1255.0  0.000164  0.000000  0.000164  0.000000
 1260.0  0.000184  0.000000  0.000184  0.000000
 1265.0  0.000129  0.000000  0.000129  0.000000
 1270.0  0.000095  0.000000  0.000095  0.000000
 1275.0  0.000205  0.000000  0.000205  0.000000
 1280.0  0.000269  0.000000  0.000269  0.000000
 1285.0  0.000289  0.000000  0.000289  0.000000
 1290.0  0.000222  0.000000  0.000222  0.000000
 1295.0  0.000204  0.000000  0.000204  0.000000
 1300.0  0.000340  0.000000  0.000340  0.000000
 1305.0  0.000368  0.000000  0.000368  0.000000
 1310.0  0.000249  0.000000  0.000249  0.000000
 1315.0  0.000253  0.000000  0.000253  0.000000
 1320.0  0.000232  0.000000  0.000232  0.000000
 1325.0  0.000221  0.000000  0.000221  0.000000
 1330.0  0.000326  0.000000  0.000326  0.000000
 1335.0  0.000419  0.000000  0.000419  0.000000
 1340.0  0.000266  0.000000  0.000266  0.000000
 1345.0  0.000203  0.000000  0.000203  0.000000
 1350.0  0.000203  0.000000  0.000203  0.000000
 1355.0  0.000181  0.000000  0.000181  0.000000
 1360.0  0.000173  0.000000  0.000173  0.000000
 1365.0  0.000219  0.000000  0.000219  0.000000
 1370.0  0.000221  0.000000  0.000221  0.000000
 1375.0  0.000174  0.000000  0.000174  0.000000
 1380.0  0.000214  0.000000  0.000214  0.000000
 1385.0  0.000239  0.000000  0.000239  0.000000
 1390.0  0.000254  0.000000  0.000254  0.000000
 1395.0  0.000304  0.000000  0.000304  0.000000
 1400.0  0.000291  0.000000  0.000291  0.000000
 1405.0  0.000255  0.000000  0.000255  0.000000
 1410.0  0.000233  0.000000  0.000233  0.000000
 1415.0  0.000286  0.000000  0.000286  0.000000
 1420.0  0.000266  0.000000  0.000266  0.000000
 1425.0  0.000272  0.000000  0.000272  0.000000
 1430.0  0.000318  0.000000  0.000318  0.000000
 1435.0  0.000309  0.000000  0.000309  0.000000
 1440.0  0.000255  0.000000  0.000255  0.000000
 1445.0  0.000273  0.000000  0.000273  0.000000
 1450.0  0.000305  0.000000  0.000305  0.000000
 1455.0  0.000335  0.000000  0.000335  0.000000
 1460.0  0.000304  0.000000  0.000304  0.000000
 1465.0  0.000365  0.000000  0.000365  0.000000
 1470.0  0.000421  0.000000  0.000421  0.000000
 1475.0  0.000434  0.000000  0.000434  0.000000
 1480.0  0.000417  0.000000  0.000417  0.000000
 1485.0  0.000454  0.000000  0.000454  0.000000
 1490.0  0.000434  0.000000  0.000434  0.000000
 1495.0  0.000472  0.000000  0.000472  0.000000
 1500.0  0.000495  0.000000  0.000495  0.000000
 1505.0  0.000423  0.000000  0.000423  0.000000
 1510.0  0.000389  0.000000  0.000389  0.000000
 1515.0  0.000469  0.000000  0.000469  0.000000
 1520.0  0.000534  0.000000  0.000534  0.000000
 1525.0  0.000604  0.000000  0.000604  0.000000
 1530.0  0.000660  0.000000  0.000660  0.000000
 1535.0  0.000545  0.000000  0.000545  0.000000
 1540.0  0.000530  0.000000  0.000530  0.000000
 1545.0  0.000664  0.000000  0.000664  0.000000
 1550.0  0.000797  0.000000  0.000797  0.000000
 1555.0  0.000747  0.000000  0.000747  0.000000
 1560.0  0.000614  0.000000  0.000614  0.000000
 1565.0  0.000548  0.000000  0.000548  0.000000
 1570.0  0.000603  0.000000  0.000603  0.000000
 1575.0  0.000649  0.000000  0.000649  0.000000
 1580.0  0.000595  0.000000  0.000595  0.000000
 1585.0  0.000553  0.000000  0.000553  0.000000
 1590.0  0.000519  0.000000  0.000519  0.000000
 1595.0  0.000521  0.000000  0.000521  0.000000
 1600.0  0.000542  0.000000  0.000542  0.000000
 1605.0  0.000588  0.000000  0.000588  0.000000
 1610.0  0.000661  0.000000  0.000661  0.000000
 1615.0  0.000708  0.000000  0.000708  0.000000
 1620.0  0.000610  0.000000  0.000610  0.000000
 1625.0  0.000647  0.000000  0.000647  0.000000
 1630.0  0.000770  0.000000  0.000770  0.000000
 1635.0  0.000839  0.000000  0.000839  0.000000
 1640.0  0.000740  0.000000  0.000740  0.000000
 1645.0  0.000786  0.000000  0.000786  0.000000
 1650.0  0.000861  0.000000  0.000861  0.000000
 1655.0  0.000941  0.000000  0.000941  0.000000
 1660.0  0.000973  0.000000  0.000973  0.000000
 1665.0  0.000895  0.000000  0.000895  0.000000
 1670.0  0.000822  0.000000  0.000822  0.000000
 1675.0  0.000930  0.000000  0.000930  0.000000
 1680.0  0.000971  0.000000  0.000971  0.000000
 1685.0  0.000887  0.000000  0.000887  0.000000
 1690.0  0.000991  0.000000  0.000991  0.000000
 1695.0  0.001179  0.000000  0.001179  0.000000
 1700.0  0.001272  0.000000  0.001272  0.000000
 1705.0  0.001308  0.000000  0.001308  0.000000
 1710.0  0.001278  0.000000  0.001278  0.000000
 1715.0  0.001373  0.000000  0.001373  0.000000
 1720.0  0.001470  0.000000  0.001470  0.000000
 1725.0  0.001524  0.000000  0.001524  0.000000
 1730.0  0.001529  0.000000  0.001529  0.000000
 1735.0  0.001534  0.000000  0.001534  0.000000
 1740.0  0.001627  0.000000  0.001627  0.000000
 1745.0  0.001820  0.000000  0.001820  0.000000
 1750.0  0.002036  0.000000  0.002036  0.000000
 1755.0  0.002186  0.000000  0.002186  0.000000
 1760.0  0.002329  0.000000  0.002329  0.000000
 1765.0  0.002442  0.000000  0.002442  0.000000
 1770.0  0.002660  0.000000  0.002660  0.000000
 1775.0  0.002935  0.000000  0.002935  0.000000
 1780.0  0.003124  0.000000  0.003124  0.000000
 1785.0  0.002752  0.000000  0.002752  0.000000
 1790.0  0.002108  0.000000  0.002108  0.000000
 1795.0  0.002832  0.000000  0.002832  0.000000
 1800.0  0.003188  0.000000  0.003188  0.000000
 1805.0  0.003270  0.000000  0.003270  0.000000
 1810.0  0.003611  0.000000  0.003611  0.000000
 1815.0  0.003972  0.000000  0.003972  0.000000
 1820.0  0.004299  0.000000  0.004299  0.000000
 1825.0  0.004372  0.000000  0.004372  0.000000
 1830.0  0.004219  0.000000  0.004219  0.000000
 1835.0  0.004278  0.000000  0.004278  0.000000
 1840.0  0.004020  0.000000  0.004020  0.000000
 1845.0  0.003688  0.000000  0.003688  0.000000
 1850.0  0.003715  0.000000  0.003715  0.000000
 1855.0  0.004222  0.000000  0.004222  0.000000
 1860.0  0.004520  0.000000  0.004520  0.000000
 1865.0  0.004887  0.000000  0.004887  0.000000
 1870.0  0.005335  0.000000  0.005335  0.000000
 1875.0  0.006344  0.000000  0.006344  0.000000
 1880.0  0.007690  0.000000  0.007690  0.000000
 1885.0  0.008139  0.000000  0.008139  0.000000
 1890.0  0.009272  0.000000  0.009272  0.000000
 1895.0  0.008011  0.000000  0.008011  0.000000
 1900.0  0.006859  0.000000  0.006859  0.000000
 1905.0  0.008702  0.000000  0.008702  0.000000
 1910.0  0.009708  0.000000  0.009708  0.000000
 1915.0  0.010092  0.000000  0.010092  0.000000
 1920.0  0.009597  0.000000  0.009597  0.000000
 1925.0  0.009109  0.000000  0.009109  0.000000
 1930.0  0.007672  0.000000  0.007672  0.000000
 1935.0  0.007722  0.000000  0.007722  0.000000
 1940.0  0.010346  0.000000  0.010346  0.000000
 1945.0  0.012172  0.000000  0.012172  0.000000
 1950.0  0.011925  0.000000  0.011925  0.000000
 1955.0  0.008668  0.000000  0.008668  0.000000
 1960.0  0.005170  0.000000  0.005170  0.000000
 1965.0  0.008492  0.000000  0.008492  0.000000
 1970.0  0.012396  0.000000  0.012396  0.000000
 1975.0  0.008267  0.000000  0.008267  0.000000
 1980.0  0.012152  0.000000  0.012152  0.000000
 1985.0  0.013540  0.000000  0.013540  0.000000
 1990.0  0.009477  0.000000  0.009477  0.000000
 1995.0  0.016207  0.000000  0.016207  0.000000
 2000.0  0.016881  0.000000  0.016881  0.000000
 2005.0  0.013789  0.000000  0.013789  0.000000
 2010.0  0.017562  0.000000  0.017562  0.000000
 2015.0  0.021060  0.000000  0.021060  0.000000
 2020.0  0.017936  0.000000  0.017936  0.000000
 2025.0  0.020307  0.000000  0.020307  0.000000
 2030.0  0.022083  0.000000  0.022083  0.000000
 2035.0  0.014243  0.000000  0.014243  0.000000
 2040.0  0.018543  0.000000  0.018543  0.000000
 2045.0  0.021863  0.000000  0.021863  0.000000
 2050.0  0.027790  0.000000  0.027790  0.000000
 2055.0  0.021163  0.000000  0.021163  0.000000
 2060.0  0.018227  0.000000  0.018227  0.000000
 2065.0  0.029155  0.000000  0.029155  0.000000
 2070.0  0.032601  0.000000  0.032601  0.000000
 2075.0  0.031551  0.000000  0.031551  0.000000
 2080.0  0.031408  0.000000  0.031408  0.000000
 2085.0  0.031796  0.000000  0.031796  0.000000
 2090.0  0.030866  0.000000  0.030866  0.000000
 2095.0  0.033903  0.000000  0.033903  0.000000
 2100.0  0.042639  0.000000  0.042639  0.000000
 2105.0  0.051847  0.000000  0.051847  0.000000
 2110.0  0.051301  0.000000  0.051301  0.000000
 2115.0  0.055334  0.000000  0.055334  0.000000
 2120.0  0.063527  0.000000  0.063527  0.000000
 2125.0  0.059360  0.000000  0.059360  0.000000
 2130.0  0.050342  0.000000  0.050342  0.000000
 2135.0  0.051207  0.000000  0.051207  0.000000
 2140.0  0.053985  0.000000  0.053985  0.000000
 2145.0  0.058494  0.000000  0.058494  0.000000
 2150.0  0.060189  0.000000  0.060189  0.000000
 2155.0  0.059765  0.000000  0.059765  0.000000
 2160.0  0.053320  0.000000  0.053320  0.000000
 2165.0  0.051288  0.000000  0.051288  0.000000
 2170.0  0.043413  0.000000  0.043413  0.000000
 2175.0  0.038987  0.000000  0.038987  0.000000
 2180.0  0.046286  0.000000  0.046286  0.000000
 2185.0  0.057207  0.000000  0.057207  0.000000
 2190.0  0.071306  0.000000  0.071306  0.000000
 2195.0  0.077964  0.000000  0.077964  0.000000
 2200.0  0.076043  0.000000  0.076043  0.000000
 2205.0  0.066059  0.000000  0.066059  0.000000
 2210.0  0.051712  0.000000  0.051712  0.000000
 2215.0  0.052809  0.000000  0.052809  0.000000
 2220.0  0.057818  0.000000  0.057818  0.000000
 2225.0  0.065521  0.000000  0.065521  0.000000
 2230.0  0.067717  0.000000  0.067717  0.000000
 2235.0  0.074511  0.000000  0.074511  0.000000
 2240.0  0.071353  0.000000  0.071353  0.000000
 2245.0  0.067166  0.000000  0.067166  0.000000
 2250.0  0.068814  0.000000  0.068814  0.000000
 2255.0  0.062303  0.000000  0.062303  0.000000
 2260.0  0.054409  0.000000  0.054409  0.000000
