#Apodizer specific quantities.
#Currently, the primary purpose is to supply the satellite spot flux ratios for different apodizers
#Potentially, may be expanded to include other apodizer-specific values (?)
#Reference - https://www.gemini.edu/sciops/instruments/gpi/instrument-performance/satellite-spots
#
#Name   gridfac   order	filter
APOD_CLEAR_G6201    NaN   1	NONE
APOD_CLEARGP_G6202  NaN   1	NONE
APOD_Y_G6203    1.60e-4   1	Y
APOD_Y_G6203    1.42e-4   2	Y
APOD_J_G6204    1.84e-4   1	J
APOD_J_G6204    1.47e-4   2	J
APOD_H_G6205    1.74e-4   1	H
APOD_H_G6205    1.71e-4   1	Y
APOD_H_G6205    1.37e-4   2	Y
APOD_H_G6205    1.92e-4   1	J
APOD_H_G6205    1.41e-4   2	J
APOD_H_G6205    1.80e-4   1	K1
APOD_K1_G6206   2.12e-4   1	K1
APOD_K2_G6207   1.905e-4   1	K2
APOD_NRM_G6208  1e-4   1	NONE
APOD_HL_G6209   1e-4   1	NONE
APOD_HSTAR_G6210    1e-4   1	NONE
Unknown     NaN   1	NONE
User Defined    1e-4   1	NONE
