#iRMS=4.031513163e-05 0
#    lk  ukf_wf5v  uks_wf5v        fh        fse
#
 1150.0  0.006516  0.000000  0.006516  0.000000
 1155.0  0.018401  0.000000  0.018401  0.000000
 1160.0  0.015602  0.000000  0.015602  0.000000
 1165.0  0.000000  0.000000  0.000000  0.000000
 1170.0  0.000000  0.000000  0.000000  0.000000
 1175.0  0.000000  0.000000  0.000000  0.000000
 1180.0  0.000000  0.000000  0.000000  0.000000
 1185.0  0.000000  0.000000  0.000000  0.000000
 1190.0  0.000000  0.000000  0.000000  0.000000
 1195.0  0.000000  0.000000  0.000000  0.000000
 1200.0  0.000000  0.000000  0.000000  0.000000
 1205.0  0.000336  0.000000  0.000336  0.000000
 1210.0  0.016180  0.000000  0.016180  0.000000
 1215.0  0.020992  0.000000  0.020992  0.000000
 1220.0  0.013106  0.000000  0.013106  0.000000
 1225.0  0.004364  0.000000  0.004364  0.000000
 1230.0  0.000387  0.000000  0.000387  0.000000
 1235.0  0.000820  0.000000  0.000820  0.000000
 1240.0  0.002452  0.000000  0.002452  0.000000
 1245.0  0.004063  0.000000  0.004063  0.000000
 1250.0  0.002320  0.000000  0.002320  0.000000
 1255.0  0.003562  0.000000  0.003562  0.000000
 1260.0  0.003990  0.000000  0.003990  0.000000
 1265.0  0.000336  0.000000  0.000336  0.000000
 1270.0  0.002562  0.000000  0.002562  0.000000
 1275.0  0.002182  0.000000  0.002182  0.000000
 1280.0  0.004004  0.000000  0.004004  0.000000
 1285.0  0.004936  0.000000  0.004936  0.000000
 1290.0  0.001029  0.000000  0.001029  0.000000
 1295.0  0.000000  0.000000  0.000000  0.000000
 1300.0  0.000781  0.000000  0.000781  0.000000
 1305.0  0.003788  0.000000  0.003788  0.000000
 1310.0  0.004194  0.000000  0.004194  0.000000
 1315.0  0.002025  0.000000  0.002025  0.000000
 1320.0  0.000000  0.000000  0.000000  0.000000
 1325.0  0.001903  0.000000  0.001903  0.000000
 1330.0  0.001492  0.000000  0.001492  0.000000
 1335.0  0.001223  0.000000  0.001223  0.000000
 1340.0  0.003120  0.000000  0.003120  0.000000
 1345.0  0.001672  0.000000  0.001672  0.000000
 1350.0  0.000585  0.000000  0.000585  0.000000
 1355.0  0.002153  0.000000  0.002153  0.000000
 1360.0  0.002374  0.000000  0.002374  0.000000
 1365.0  0.000724  0.000000  0.000724  0.000000
 1370.0  0.000000  0.000000  0.000000  0.000000
 1375.0  0.001066  0.000000  0.001066  0.000000
 1380.0  0.000383  0.000000  0.000383  0.000000
 1385.0  0.000000  0.000000  0.000000  0.000000
 1390.0  0.000000  0.000000  0.000000  0.000000
 1395.0  0.000000  0.000000  0.000000  0.000000
 1400.0  0.001800  0.000000  0.001800  0.000000
 1405.0  0.004077  0.000000  0.004077  0.000000
 1410.0  0.000000  0.000000  0.000000  0.000000
 1415.0  0.000000  0.000000  0.000000  0.000000
 1420.0  0.000230  0.000000  0.000230  0.000000
 1425.0  0.001268  0.000000  0.001268  0.000000
 1430.0  0.001453  0.000000  0.001453  0.000000
 1435.0  0.000000  0.000000  0.000000  0.000000
 1440.0  0.000123  0.000000  0.000123  0.000000
 1445.0  0.002174  0.000000  0.002174  0.000000
 1450.0  0.001482  0.000000  0.001482  0.000000
 1455.0  0.001420  0.000000  0.001420  0.000000
 1460.0  0.002608  0.000000  0.002608  0.000000
 1465.0  0.001518  0.000000  0.001518  0.000000
 1470.0  0.004072  0.000000  0.004072  0.000000
 1475.0  0.002981  0.000000  0.002981  0.000000
 1480.0  0.000000  0.000000  0.000000  0.000000
 1485.0  0.000000  0.000000  0.000000  0.000000
 1490.0  0.000000  0.000000  0.000000  0.000000
 1495.0  0.001286  0.000000  0.001286  0.000000
 1500.0  0.000000  0.000000  0.000000  0.000000
 1505.0  0.000231  0.000000  0.000231  0.000000
 1510.0  0.002091  0.000000  0.002091  0.000000
 1515.0  0.001498  0.000000  0.001498  0.000000
 1520.0  0.000000  0.000000  0.000000  0.000000
 1525.0  0.000000  0.000000  0.000000  0.000000
 1530.0  0.000000  0.000000  0.000000  0.000000
 1535.0  0.005198  0.000000  0.005198  0.000000
 1540.0  0.006111  0.000000  0.006111  0.000000
 1545.0  0.003826  0.000000  0.003826  0.000000
 1550.0  0.001275  0.000000  0.001275  0.000000
 1555.0  0.004071  0.000000  0.004071  0.000000
 1560.0  0.003948  0.000000  0.003948  0.000000
 1565.0  0.004145  0.000000  0.004145  0.000000
 1570.0  0.000134  0.000000  0.000134  0.000000
 1575.0  0.000380  0.000000  0.000380  0.000000
 1580.0  0.004094  0.000000  0.004094  0.000000
 1585.0  0.002963  0.000000  0.002963  0.000000
 1590.0  0.000000  0.000000  0.000000  0.000000
 1595.0  0.004120  0.000000  0.004120  0.000000
 1600.0  0.004887  0.000000  0.004887  0.000000
 1605.0  0.000000  0.000000  0.000000  0.000000
 1610.0  0.000346  0.000000  0.000346  0.000000
 1615.0  0.001533  0.000000  0.001533  0.000000
 1620.0  0.003990  0.000000  0.003990  0.000000
 1625.0  0.002185  0.000000  0.002185  0.000000
 1630.0  0.000202  0.000000  0.000202  0.000000
