#iRMS=5.81352906e-05 0
#    lk  ukf_wg5v  uks_wg5v        fh        fse
#
 1150.0  0.004238  0.000000  0.004238  0.000000
 1155.0  0.003044  0.000000  0.003044  0.000000
 1160.0  0.001544  0.000000  0.001544  0.000000
 1165.0  0.000986  0.000000  0.000986  0.000000
 1170.0  0.001096  0.000000  0.001096  0.000000
 1175.0  0.001069  0.000000  0.001069  0.000000
 1180.0  0.000532  0.000000  0.000532  0.000000
 1185.0  0.000454  0.000000  0.000454  0.000000
 1190.0  0.000105  0.000000  0.000105  0.000000
 1195.0  0.001423  0.000000  0.001423  0.000000
 1200.0  0.005172  0.000000  0.005172  0.000000
 1205.0  0.035668  0.000000  0.035668  0.000000
 1210.0  0.098756  0.000000  0.098756  0.000000
 1215.0  0.114361  0.000000  0.114361  0.000000
 1220.0  0.051312  0.000000  0.051312  0.000000
 1225.0  0.007491  0.000000  0.007491  0.000000
 1230.0  0.000896  0.000000  0.000896  0.000000
 1235.0  0.000612  0.000000  0.000612  0.000000
 1240.0  0.000627  0.000000  0.000627  0.000000
 1245.0  0.000492  0.000000  0.000492  0.000000
 1250.0  0.000299  0.000000  0.000299  0.000000
 1255.0  0.000167  0.000000  0.000167  0.000000
 1260.0  0.000188  0.000000  0.000188  0.000000
 1265.0  0.000183  0.000000  0.000183  0.000000
 1270.0  0.000191  0.000000  0.000191  0.000000
 1275.0  0.000299  0.000000  0.000299  0.000000
 1280.0  0.000384  0.000000  0.000384  0.000000
 1285.0  0.000318  0.000000  0.000318  0.000000
 1290.0  0.000215  0.000000  0.000215  0.000000
 1295.0  0.000246  0.000000  0.000246  0.000000
 1300.0  0.000554  0.000000  0.000554  0.000000
 1305.0  0.000747  0.000000  0.000747  0.000000
 1310.0  0.000316  0.000000  0.000316  0.000000
 1315.0  0.000153  0.000000  0.000153  0.000000
 1320.0  0.000127  0.000000  0.000127  0.000000
 1325.0  0.000187  0.000000  0.000187  0.000000
 1330.0  0.000466  0.000000  0.000466  0.000000
 1335.0  0.000936  0.000000  0.000936  0.000000
 1340.0  0.000330  0.000000  0.000330  0.000000
 1345.0  0.000073  0.000000  0.000073  0.000000
 1350.0  0.000015  0.000000  0.000015  0.000000
 1355.0  0.000162  0.000000  0.000162  0.000000
 1360.0  0.000229  0.000000  0.000229  0.000000
 1365.0  0.000205  0.000000  0.000205  0.000000
 1370.0  0.000149  0.000000  0.000149  0.000000
 1375.0  0.000182  0.000000  0.000182  0.000000
 1380.0  0.000150  0.000000  0.000150  0.000000
 1385.0  0.000136  0.000000  0.000136  0.000000
 1390.0  0.000308  0.000000  0.000308  0.000000
 1395.0  0.000524  0.000000  0.000524  0.000000
 1400.0  0.000450  0.000000  0.000450  0.000000
 1405.0  0.000494  0.000000  0.000494  0.000000
 1410.0  0.000295  0.000000  0.000295  0.000000
 1415.0  0.000159  0.000000  0.000159  0.000000
 1420.0  0.000164  0.000000  0.000164  0.000000
 1425.0  0.000271  0.000000  0.000271  0.000000
 1430.0  0.000355  0.000000  0.000355  0.000000
 1435.0  0.000226  0.000000  0.000226  0.000000
 1440.0  0.000269  0.000000  0.000269  0.000000
 1445.0  0.000393  0.000000  0.000393  0.000000
 1450.0  0.000434  0.000000  0.000434  0.000000
 1455.0  0.000379  0.000000  0.000379  0.000000
 1460.0  0.000202  0.000000  0.000202  0.000000
 1465.0  0.000347  0.000000  0.000347  0.000000
 1470.0  0.000539  0.000000  0.000539  0.000000
 1475.0  0.000374  0.000000  0.000374  0.000000
 1480.0  0.000281  0.000000  0.000281  0.000000
 1485.0  0.000582  0.000000  0.000582  0.000000
 1490.0  0.000647  0.000000  0.000647  0.000000
 1495.0  0.000612  0.000000  0.000612  0.000000
 1500.0  0.000454  0.000000  0.000454  0.000000
 1505.0  0.000371  0.000000  0.000371  0.000000
 1510.0  0.000489  0.000000  0.000489  0.000000
 1515.0  0.000417  0.000000  0.000417  0.000000
 1520.0  0.000424  0.000000  0.000424  0.000000
 1525.0  0.000435  0.000000  0.000435  0.000000
 1530.0  0.000751  0.000000  0.000751  0.000000
 1535.0  0.000699  0.000000  0.000699  0.000000
 1540.0  0.000544  0.000000  0.000544  0.000000
 1545.0  0.001321  0.000000  0.001321  0.000000
 1550.0  0.001574  0.000000  0.001574  0.000000
 1555.0  0.000637  0.000000  0.000637  0.000000
 1560.0  0.000410  0.000000  0.000410  0.000000
 1565.0  0.000438  0.000000  0.000438  0.000000
 1570.0  0.000338  0.000000  0.000338  0.000000
 1575.0  0.000468  0.000000  0.000468  0.000000
 1580.0  0.000526  0.000000  0.000526  0.000000
 1585.0  0.000429  0.000000  0.000429  0.000000
 1590.0  0.000287  0.000000  0.000287  0.000000
 1595.0  0.000324  0.000000  0.000324  0.000000
 1600.0  0.000435  0.000000  0.000435  0.000000
 1605.0  0.000431  0.000000  0.000431  0.000000
 1610.0  0.000344  0.000000  0.000344  0.000000
 1615.0  0.000359  0.000000  0.000359  0.000000
