Reads Preformed	Read Noise e-
2.0	19.2161247123
3.0	19.3612203913
4.0	18.3450414443
5.0	17.3662026951
6.0	16.3740719571
7.0	15.5131592009
8.0	14.822369126
9.0	14.2171157807
10.0	13.7038631945
11.0	13.1992610772
12.0	12.8237824576
13.0	12.4727978348
14.0	12.019145314
15.0	11.6873833203
16.0	11.4148538647
17.0	11.144843487
18.0	10.9338102247
19.0	10.7829791345
20.0	10.5740293475
21.0	10.3668299909
22.0	10.1377608529
23.0	9.96768985375
24.0	9.78724400052
25.0	9.66060145595
26.0	9.52743175286
27.0	9.41726503602
28.0	9.33653484209
29.0	9.20320148674
30.0	9.09010413124
31.0	8.94472961006
32.0	8.85254707433
33.0	8.7530821047
34.0	8.66690853842
35.0	8.57648167831
36.0	8.48672108722
37.0	8.38333080378
38.0	8.30474743419
39.0	8.2223674485
40.0	8.14440044803
41.0	8.05781423596
42.0	7.97094962933
43.0	7.90827329044
44.0	7.84954286585
45.0	7.81874400152
46.0	7.7766018856
47.0	7.73058680173
48.0	7.6944904786
49.0	7.64472199784
50.0	7.57556783696
51.0	7.53665944935
52.0	7.49275476429
53.0	7.45060089102
54.0	7.40749878864
55.0	7.37172112828
56.0	7.31726627463
57.0	7.29841603318
58.0	7.25936902558
59.0	7.22844850804
60.0	7.20811107457
61.0	7.18768394646
62.0	7.16424795564
63.0	7.11559832329
64.0	7.0617595682
65.0	7.02818387704
66.0	7.01192093565
67.0	6.98720712622
68.0	6.95098948362
69.0	6.9236354201
70.0	6.91764996101
71.0	6.90499296274
72.0	6.86501839285
73.0	6.84565962452
74.0	6.83181738625
75.0	6.80787063626
76.0	6.78404917308
77.0	6.76461769643
78.0	6.7361969962
79.0	6.7158747319
80.0	6.69663515304
81.0	6.70208160611
82.0	6.68486223502
83.0	6.66009129089
84.0	6.65422888341
85.0	6.64097875085
86.0	6.61413080352
87.0	6.60143922358
88.0	6.63270546563
89.0	6.62047487435
90.0	6.60531832782
91.0	6.58699145312
92.0	6.54982283861
93.0	6.55072137827
94.0	6.5435080262
95.0	6.5384822359
96.0	6.51241525591
97.0	6.47991091097
98.0	6.4470125788
99.0	6.43298872546
100.0	6.44140251674
101.0	6.44452242332
102.0	6.42574305202
